trials.label,trials.startVal,trials.stepSizes,trials.maxVal,trials.minVal,trials.thisIndex,trials.thisRepN,trials.thisN,trials.direction,trials.stepSize,trials.stepType,trials.intensity,ISI.started,grating.started,key_resp.started,grating.stopped,trials.response,key_resp.corr,participant,session,date,expName,psychopyVersion,frameRate,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,50,49,down,0.005,db,0.04931397428156054,0.0003477000009297626,134.90194750000046,134.90194750000046,135.2016803000006,1,1,779228,001,2022-09-08_16h03.08.794,Grating_Titration exp,2022.2.4,60.067383591128916,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,51,50,down,0.005,db,0.04931397428156054,0.00035960000059276354,137.28503120000096,137.28503120000096,137.58495850000145,1,1,779228,001,2022-09-08_16h03.08.794,Grating_Titration exp,2022.2.4,60.067383591128916,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,52,51,down,0.005,db,0.04931397428156054,0.00035039999966102187,139.68519350000133,139.68519350000133,139.98525020000125,1,1,779228,001,2022-09-08_16h03.08.794,Grating_Titration exp,2022.2.4,60.067383591128916,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,53,52,down,0.005,db,0.04928559504503083,0.0003574999991542427,142.06846810000025,142.06846810000025,142.3685344000005,1,1,779228,001,2022-09-08_16h03.08.794,Grating_Titration exp,2022.2.4,60.067383591128916,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,54,53,down,0.005,db,0.04928559504503083,0.00036019999970449135,144.60155200000008,144.60155200000008,144.9017676000003,1,1,779228,001,2022-09-08_16h03.08.794,Grating_Titration exp,2022.2.4,60.067383591128916,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,55,54,down,0.005,db,0.04928559504503083,0.000382099999114871,147.15150840000024,147.15150840000024,147.4515979000007,1,1,779228,001,2022-09-08_16h03.08.794,Grating_Titration exp,2022.2.4,60.067383591128916,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,56,55,down,0.005,db,0.04925723214020177,0.0003483000000414904,149.6181557,149.6181557,149.91807970000082,1,1,779228,001,2022-09-08_16h03.08.794,Grating_Titration exp,2022.2.4,60.067383591128916,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,57,56,down,0.005,db,0.04925723214020177,0.0003648000001703622,152.10162560000026,152.10162560000026,152.40210410000145,1,1,779228,001,2022-09-08_16h03.08.794,Grating_Titration exp,2022.2.4,60.067383591128916,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,58,57,down,0.005,db,0.04925723214020177,0.0003556000010576099,154.53479750000042,154.53479750000042,154.83466860000044,1,1,779228,001,2022-09-08_16h03.08.794,Grating_Titration exp,2022.2.4,60.067383591128916,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,59,58,down,0.005,db,0.04922888555767479,0.0003711000008479459,156.96838870000101,156.96838870000101,157.2679786000008,1,1,779228,001,2022-09-08_16h03.08.794,Grating_Titration exp,2022.2.4,60.067383591128916,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,60,59,down,0.005,db,0.04922888555767479,0.0003673999999591615,159.5348412000003,159.5348412000003,159.83486340000127,1,1,779228,001,2022-09-08_16h03.08.794,Grating_Titration exp,2022.2.4,60.067383591128916,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,61,60,down,0.005,db,0.04922888555767479,0.00037770000017189886,162.05160030000116,162.05160030000116,162.3514305000008,1,1,779228,001,2022-09-08_16h03.08.794,Grating_Titration exp,2022.2.4,60.067383591128916,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,62,61,down,0.005,db,0.04920055528805671,0.0003465000008873176,164.46807150000132,164.46807150000132,164.76806450000004,1,1,779228,001,2022-09-08_16h03.08.794,Grating_Titration exp,2022.2.4,60.067383591128916,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,63,62,down,0.005,db,0.04920055528805671,0.00036440000076254364,166.98444070000005,166.98444070000005,167.28449270000056,1,1,779228,001,2022-09-08_16h03.08.794,Grating_Titration exp,2022.2.4,60.067383591128916,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,64,63,down,0.005,db,0.04920055528805671,0.00034309999864490237,169.48443140000018,169.48443140000018,169.78510020000067,1,1,779228,001,2022-09-08_16h03.08.794,Grating_Titration exp,2022.2.4,60.067383591128916,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,65,64,down,0.005,db,0.049172241321959784,0.00035769999885815196,172.05130790000112,172.05130790000112,172.3512694000001,1,1,779228,001,2022-09-08_16h03.08.794,Grating_Titration exp,2022.2.4,60.067383591128916,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,66,65,down,0.005,db,0.049172241321959784,0.0003820000001724111,174.73446500000136,174.73446500000136,175.03450650000013,1,1,779228,001,2022-09-08_16h03.08.794,Grating_Titration exp,2022.2.4,60.067383591128916,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,67,66,down,0.005,db,0.049172241321959784,0.00035349999961908907,177.10092160000022,177.10092160000022,177.40097950000018,1,1,779228,001,2022-09-08_16h03.08.794,Grating_Titration exp,2022.2.4,60.067383591128916,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,68,67,down,0.005,db,0.04914394365000164,0.0003656999997474486,179.60092870000153,179.60092870000153,179.900779900001,1,1,779228,001,2022-09-08_16h03.08.794,Grating_Titration exp,2022.2.4,60.067383591128916,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,69,68,down,0.005,db,0.04914394365000164,0.00036670000008598436,182.01750710000124,182.01750710000124,182.31775310000012,1,1,779228,001,2022-09-08_16h03.08.794,Grating_Titration exp,2022.2.4,60.067383591128916,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,70,69,down,0.005,db,0.04914394365000164,0.0003758000002562767,184.9843892000008,184.9843892000008,185.28441139999995,1,1,779228,001,2022-09-08_16h03.08.794,Grating_Titration exp,2022.2.4,60.067383591128916,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,71,70,down,0.005,db,0.04911566226280532,0.00035350000143807847,187.5679082000006,187.5679082000006,187.86820210000042,1,1,779228,001,2022-09-08_16h03.08.794,Grating_Titration exp,2022.2.4,60.067383591128916,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,72,71,down,0.005,db,0.04911566226280532,0.00036220000038156286,190.16779240000142,190.16779240000142,190.46778040000027,1,1,779228,001,2022-09-08_16h03.08.794,Grating_Titration exp,2022.2.4,60.067383591128916,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,73,72,down,0.005,db,0.04911566226280532,0.0014019999998708954,192.73450279999997,192.73450279999997,193.03433920000134,1,1,779228,001,2022-09-08_16h03.08.794,Grating_Titration exp,2022.2.4,60.067383591128916,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,74,73,down,0.005,db,0.04908739715099925,0.0003544999999576248,195.1841381000013,195.1841381000013,195.48418350000065,1,1,779228,001,2022-09-08_16h03.08.794,Grating_Titration exp,2022.2.4,60.067383591128916,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,75,74,down,0.005,db,0.04908739715099925,0.00037369999881775584,197.76739890000135,197.76739890000135,198.06722010000158,1,1,779228,001,2022-09-08_16h03.08.794,Grating_Titration exp,2022.2.4,60.067383591128916,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,76,75,down,0.005,db,0.04908739715099925,0.0003577999996196013,200.50059070000134,200.50059070000134,200.8007716000011,1,1,779228,001,2022-09-08_16h03.08.794,Grating_Titration exp,2022.2.4,60.067383591128916,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,77,76,down,0.005,db,0.04905914830521728,0.0003532999999151798,203.26713910000035,203.26713910000035,203.56740180000088,1,1,779228,001,2022-09-08_16h03.08.794,Grating_Titration exp,2022.2.4,60.067383591128916,
