1.9228 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
88.8044 	EXP 	window1: recordFrameIntervals = False
88.8052 	DATA 	Keypress: left
88.8191 	EXP 	fixation: autoDraw = False
88.8191 	EXP 	grating: autoDraw = False
88.8193 	EXP 	window1: recordFrameIntervals = False
89.8033 	EXP 	fixation: autoDraw = True
90.8027 	EXP 	fixation: autoDraw = False
90.8192 	EXP 	grating: autoDraw = True
90.8192 	EXP 	grating: tex = 'sin'
91.1194 	EXP 	grating: autoDraw = False
91.3373 	EXP 	window1: recordFrameIntervals = False
91.3380 	DATA 	Keypress: left
91.3525 	EXP 	fixation: autoDraw = False
91.3525 	EXP 	grating: autoDraw = False
91.3526 	EXP 	window1: recordFrameIntervals = False
92.3363 	EXP 	fixation: autoDraw = True
93.3359 	EXP 	fixation: autoDraw = False
93.3526 	EXP 	grating: autoDraw = True
93.3526 	EXP 	grating: tex = 'sin'
93.6527 	EXP 	grating: autoDraw = False
93.7042 	EXP 	window1: recordFrameIntervals = False
93.7049 	DATA 	Keypress: right
93.7191 	EXP 	fixation: autoDraw = False
93.7191 	EXP 	grating: autoDraw = False
93.7192 	EXP 	window1: recordFrameIntervals = False
94.7031 	EXP 	fixation: autoDraw = True
95.7026 	EXP 	fixation: autoDraw = False
95.7193 	EXP 	grating: autoDraw = True
95.7193 	EXP 	grating: tex = 'sin'
96.0190 	EXP 	grating: autoDraw = False
96.1540 	EXP 	window1: recordFrameIntervals = False
96.1548 	DATA 	Keypress: right
96.1692 	EXP 	fixation: autoDraw = False
96.1692 	EXP 	grating: autoDraw = False
96.1693 	EXP 	window1: recordFrameIntervals = False
97.1530 	EXP 	fixation: autoDraw = True
98.1530 	EXP 	fixation: autoDraw = False
98.1530 	EXP 	grating: autoDraw = True
98.1530 	EXP 	grating: tex = 'sin'
98.4525 	EXP 	grating: autoDraw = False
98.6705 	EXP 	window1: recordFrameIntervals = False
98.6712 	DATA 	Keypress: right
98.6859 	EXP 	fixation: autoDraw = False
98.6859 	EXP 	grating: autoDraw = False
98.6861 	EXP 	window1: recordFrameIntervals = False
99.6696 	EXP 	fixation: autoDraw = True
100.6692 	EXP 	fixation: autoDraw = False
100.6859 	EXP 	grating: autoDraw = True
100.6859 	EXP 	grating: tex = 'sin'
100.9856 	EXP 	grating: autoDraw = False
101.0540 	EXP 	window1: recordFrameIntervals = False
101.0548 	DATA 	Keypress: left
101.0690 	EXP 	fixation: autoDraw = False
101.0690 	EXP 	grating: autoDraw = False
101.0691 	EXP 	window1: recordFrameIntervals = False
102.0530 	EXP 	fixation: autoDraw = True
103.0525 	EXP 	fixation: autoDraw = False
103.0692 	EXP 	grating: autoDraw = True
103.0692 	EXP 	grating: tex = 'sin'
103.3692 	EXP 	grating: autoDraw = False
103.5202 	EXP 	window1: recordFrameIntervals = False
103.5209 	DATA 	Keypress: left
103.5357 	EXP 	fixation: autoDraw = False
103.5357 	EXP 	grating: autoDraw = False
103.5359 	EXP 	window1: recordFrameIntervals = False
104.5194 	EXP 	fixation: autoDraw = True
105.5189 	EXP 	fixation: autoDraw = False
105.5189 	EXP 	grating: autoDraw = True
105.5189 	EXP 	grating: tex = 'sin'
105.8191 	EXP 	grating: autoDraw = False
105.9538 	EXP 	window1: recordFrameIntervals = False
105.9546 	DATA 	Keypress: left
105.9692 	EXP 	fixation: autoDraw = False
105.9692 	EXP 	grating: autoDraw = False
105.9694 	EXP 	window1: recordFrameIntervals = False
106.9527 	EXP 	fixation: autoDraw = True
